UserID,Category,TotalInteractions,AverageRating
U000,Books,6,3.67
U000,Clothing,3,1.67
U000,Electronics,3,3.67
U000,Home,2,1.0
U000,Toys,6,3.5
U001,Beauty,1,4.0
U001,Books,4,2.5
U001,Clothing,4,2.5
U001,Electronics,2,4.0
U001,Home,1,2.0
U001,Toys,1,4.0
U002,Beauty,3,3.0
U002,Books,1,1.0
U002,Clothing,1,1.0
U002,Electronics,1,2.0
U002,Home,2,2.0
U002,Toys,6,2.83
U003,Beauty,3,3.33
U003,Books,1,3.0
U003,Clothing,3,1.33
U003,Home,2,2.5
U003,Toys,2,1.0
U004,Beauty,4,2.75
U004,Books,5,3.0
U004,Clothing,3,4.0
U004,Electronics,3,2.33
U004,Home,1,2.0
U004,Toys,1,3.0
U005,Beauty,3,2.67
U005,Books,3,2.0
U005,Electronics,1,1.0
U005,Home,1,1.0
U005,Toys,2,4.0
U006,Beauty,1,3.0
U006,Books,3,2.67
U006,Clothing,2,2.5
U006,Electronics,3,3.33
U006,Home,2,4.5
U006,Toys,3,3.67
U007,Beauty,2,2.0
U007,Books,1,2.0
U007,Clothing,3,2.33
U007,Electronics,3,4.67
U007,Home,1,4.0
U007,Toys,1,4.0
U008,Books,7,2.86
U008,Clothing,3,2.33
U008,Electronics,7,3.29
U008,Home,2,1.5
U008,Toys,1,3.0
U009,Beauty,5,3.4
U009,Books,6,2.83
U009,Electronics,3,2.33
U009,Home,2,4.0
U009,Toys,3,3.33
U010,Beauty,4,3.0
U010,Books,5,3.6
U010,Clothing,5,3.0
U010,Electronics,3,3.0
U010,Toys,2,3.5
U011,Beauty,4,3.75
U011,Books,4,4.5
U011,Clothing,1,5.0
U011,Electronics,4,3.25
U011,Home,2,2.5
U011,Toys,1,3.0
U012,Books,4,3.75
U012,Clothing,3,3.0
U012,Electronics,3,3.67
U012,Home,4,4.0
U012,Toys,4,3.5
U013,Beauty,4,2.0
U013,Books,1,2.0
U013,Clothing,3,1.67
U013,Electronics,4,2.75
U013,Home,2,2.5
U013,Toys,4,2.75
U014,Beauty,1,1.0
U014,Books,2,3.5
U014,Clothing,1,1.0
U014,Electronics,4,2.5
U014,Home,1,4.0
U014,Toys,1,1.0
U015,Beauty,2,3.0
U015,Books,2,2.5
U015,Clothing,3,3.33
U015,Electronics,3,1.0
U015,Home,1,2.0
U015,Toys,3,2.33
U016,Beauty,2,2.5
U016,Books,3,3.33
U016,Clothing,3,3.33
U016,Electronics,2,4.0
U016,Toys,2,2.0
U017,Beauty,3,3.0
U017,Books,4,4.25
U017,Clothing,3,3.0
U017,Electronics,3,3.33
U017,Home,2,4.5
U017,Toys,3,2.33
U018,Beauty,3,2.0
U018,Books,7,3.57
U018,Clothing,1,4.0
U018,Electronics,1,1.0
U018,Home,2,3.5
U018,Toys,1,5.0
U019,Books,2,4.0
U019,Clothing,1,5.0
U019,Electronics,8,3.25
U019,Home,1,1.0
U019,Toys,3,3.33
U020,Beauty,2,4.0
U020,Books,2,2.5
U020,Clothing,5,2.4
U020,Electronics,1,2.0
U020,Home,1,4.0
U020,Toys,2,3.0
U021,Beauty,4,4.0
U021,Books,2,4.0
U021,Clothing,1,1.0
U021,Electronics,3,3.0
U022,Books,3,1.0
U022,Clothing,2,4.0
U022,Electronics,4,2.0
U022,Home,1,5.0
U022,Toys,1,2.0
U023,Beauty,3,4.0
U023,Books,2,3.0
U023,Electronics,4,3.75
U023,Home,1,4.0
U023,Toys,1,1.0
U024,Books,3,3.0
U024,Clothing,3,2.33
U024,Electronics,2,3.5
U024,Home,2,2.0
U024,Toys,1,3.0
U025,Beauty,2,3.0
U025,Books,5,2.2
U025,Electronics,1,1.0
U025,Home,1,5.0
U025,Toys,1,4.0
U026,Books,4,3.5
U026,Clothing,2,5.0
U026,Electronics,3,2.67
U026,Home,1,3.0
U026,Toys,6,2.5
U027,Beauty,2,3.0
U027,Clothing,2,3.5
U027,Electronics,6,4.17
U027,Home,2,2.5
U027,Toys,3,3.0
U028,Beauty,3,2.33
U028,Books,6,1.83
U028,Clothing,1,5.0
U028,Electronics,6,3.33
U028,Home,1,3.0
U028,Toys,2,3.0
U029,Beauty,2,1.0
U029,Books,5,2.4
